stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
78347,boul. Maple-Grove / rue de l'Église,  45.318581, -73.841437,,78347,0
78348,Rond Point Melocheville,  45.315473, -73.926344,,78348,0
78350,boul. Maple-Grove / rue Dubuc,  45.316497, -73.863454,,78350,0
78351,boul. Maple-Grove / rue des Cèdres,  45.316781, -73.859825,,78351,0
78352,boul. Maple-Grove / rue des Cèdres,  45.316654, -73.860103,,78352,0
78353,boul. Maple-Grove / rue des Chênes,  45.317029, -73.855946,,78353,0
78354,boul. Maple-Grove / rue des Chênes,  45.316932, -73.855901,,78354,0
78355,boul. Maple-Grove / rue St-Jean,  45.318128, -73.849823,,78355,0
78356,rue Ellice / ch. de la Beauce,  45.315360, -73.870780,,78356,0
78357,boul. Maple-Grove / rue de la Couturière,  45.318510, -73.847427,,78357,0
78358,boul. Maple-Grove / face au 191,  45.318272, -73.848298,,78358,0
78360,boul. Maple-Grove / rue des Tulipes,  45.318515, -73.841617,,78360,0
78361,boul. Maple-Grove / rue Hébert,  45.319482, -73.837846,,78361,0
78362,boul. Maple-Grove / rue Gagnier,  45.319102, -73.838285,,78362,0
78364,Terminus Angrignon,  45.446132, -73.604996,,78364,0
78365,boul. Hébert / rue Lapointe,  45.276335, -74.083101,,78365,0
78366,boul. Hébert / rue Lapointe,  45.276037, -74.083738,,78366,0
78367,boul. Hébert / rue Masson,  45.276753, -74.079231,,78367,0
78369,boul. Hébert / 5e avenue,  45.288327, -74.047118,,78369,0
78371,boul. Hébert / 4e avenue,  45.288472, -74.046370,,78371,0
78372,boul. Hébert / 4e avenue,  45.288333, -74.046491,,78372,0
78373,boul. Hébert / boul. Pie-XII,  45.289537, -74.040530,,78373,0
78374,boul. Hébert / boul. Pie-XII,  45.289548, -74.039804,,78374,0
78375,boul. Hébert / rue Gougeon,  45.290201, -74.037252,,78375,0
78376,boul. Hébert / rue des Aînés,  45.290353, -74.036533,,78376,0
78377,boul. Hébert / rue Potvin,  45.292975, -74.034113,,78377,0
78378,boul. Hébert / rue Potvin,  45.292970, -74.033944,,78378,0
78379,boul. Hébert / avenue Julien,  45.300038, -74.025152,,78379,0
78380,boul. Hébert / avenue Julien,  45.299926, -74.025550,,78380,0
78381,boul. Hébert / rue Florian-Paiement,  45.297032, -74.032018,,78381,0
78382,boul. Hébert / boul. Mgr-Langlois,  45.272368, -74.093586,,78382,0
78384,Hébert - Opp 573,  45.265707, -74.097626,,78384,0
78388,boul. Hébert / avenue Julien,  45.299965, -74.017424,,78388,0
78389,boul. Hébert / avenue Julien,  45.299855, -74.017231,,78389,0
78390,boul. Hébert / rue Miron,  45.300863, -74.001510,,78390,0
78391,boul. Hébert / face au 6800,  45.301460, -73.998685,,78391,0
78392,boul. Hébert / rue Mercier,  45.303055, -73.993213,,78392,0
78393,boul. Hébert / rue Mercier,  45.302943, -73.993131,,78393,0
78394,boul. Hébert / rue Racicot,  45.279258, -74.069617,,78394,0
78395,boul. Hébert / rue Laberge,  45.279141, -74.069634,,78395,0
78396,boul. Hébert / rue des Harfangs,  45.300017, -74.023456,,78396,0
78397,boul. Hébert / rue des Harfangs,  45.299919, -74.023429,,78397,0
78398,boul. Hébert / avenue Irenée-Pilon,  45.304224, -73.988928,,78398,0
78399,boul. Hébert / avenue Irenée-Pilon,  45.304121, -73.988861,,78399,0
78400,boul. Hébert / rue St-Laurent,  45.296353, -74.032499,,78400,0
78406,boul. Hébert / rue Jeanne-d'Arc,  45.275095, -74.086660,,78406,0
78407,boul. Hébert / rue Jeanne-d'Arc,  45.274971, -74.086748,,78407,0
78409,rue Dufferin / rue Gault,  45.261643, -74.130325,,78409,0
78413,boul. Hébert / rue Masson,  45.276652, -74.078982,,78413,0
78414,rue Dufferin / rue St-Charles,  45.264447, -74.124342,,78414,0
78415,rue Dufferin / rue St-Charles,  45.264379, -74.124514,,78415,0
78416,rue Dufferin / rue Black,  45.263650, -74.120421,,78416,0
78417,rue Dufferin / rue Eastern,  45.263526, -74.119643,,78417,0
78418,rue Dufferin / rue Lowe,  45.263832, -74.116969,,78418,0
78419,rue Dufferin / rue Lowe,  45.263759, -74.117187,,78419,0
78422,rue Dufferin / rue Laniel,  45.262322, -74.111303,,78422,0
78423,rue Dufferin / rue Laniel,  45.262255, -74.111337,,78423,0
78426,rue Dufferin / rue Parent,  45.261499, -74.108252,,78426,0
78427,rue Dufferin / rue Parent,  45.261425, -74.108294,,78427,0
78433,Terminus Salaberry-de-Valleyfield,  45.258184, -74.126591,,78433,0
78434,boul. Hébert / boul. du Havre,  45.261660, -74.103481,,78434,0
78435,boul. Hébert / boul. du Havre,  45.261420, -74.104065,,78435,0
78443,rue Jacques-Cartier / rue Champlain,  45.254997, -74.129798,,78443,0
78445,boul. St-Jean-Baptiste / boul. d'Anjou,  45.357973, -73.716335,,78445,0
78447,boul. d'Youville / rue St-Jean,  45.374235, -73.754147,,78447,0
78448,route 132 / boul. de l'Énergie,  45.313784, -73.898177,,78448,0
78449,ch. St-Louis / rue Riendeau,  45.307472, -73.879074,,78449,1
78450,ch. St-Louis / rue Riendeau,  45.307786, -73.879351,,78450,1
78500,boul. Gérard-Cadieux / face au IGA,  45.306375, -73.863693,,78500,0
78501,boul. Gérard-Cadieux / face au IGA,  45.306477, -73.863678,,78501,0
78505,rue Girouard / boul. d'Youville,  45.365617, -73.754730,,78505,0
78506,rue Principale / boul. Rousseau,  45.355608, -73.767440,,78506,0
78507,rue Principale / place Léonie-Paradis,  45.355024, -73.769833,,78507,0
78508,rue Marcel / rue St-Jean-Baptiste,  45.362581, -73.713376,,78508,0
78509,ch. de la Beauce / rue Hannah,  45.314484, -73.869604,,78509,0
78510,ch. de la Beauce / rue St-Charles,  45.312881, -73.867545,,78510,0
78511,ch. de la Beauce / rue St-Clément,  45.311511, -73.865669,,78511,0
78512,ch. de la Beauce / rue Jeanne-d'Arc,  45.310375, -73.864194,,78512,0
78513,ch. de la Beauce / rue St-Paul,  45.309186, -73.862698,,78513,0
78514,boul. Gérard-Cadieux / face au Centre Commercial,  45.306884, -73.862860,,78514,0
78515,boul. Gérard-Cadieux / rue Edmour Daoust,  45.306257, -73.865163,,78515,0
78516,boul. Gérard-Cadieux / rue Morell,  45.304729, -73.869578,,78516,0
78517,boul. Gérard-Cadieux / rue Dupuis,  45.303273, -73.871814,,78517,0
78518,boul. Gérard-Cadieux / boul. Lussier,  45.301754, -73.874147,,78518,0
78519,boul. Gérard-Cadieux / rue St-André,  45.301111, -73.875162,,78519,0
78520,boul. Gérard-Cadieux / ch. St-Louis,  45.300111, -73.881033,,78520,0
78521,ch. St-Louis / rue Claude,  45.296807, -73.881991,,78521,0
78522,ch. St-Louis / rue Tisseur,  45.294367, -73.882629,,78522,0
78523,ch. St-Louis / rue Brière,  45.291901, -73.883226,,78523,0
78524,ch. St-Louis / boul. Gérard-Cadieux,  45.299915, -73.881068,,78524,0
