shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10203,45.416176,-74.043379,60016,3.029
10203,45.416221,-74.043423,60017,3.035
10203,45.416221,-74.043423,70001,3.035
10203,45.416294,-74.043496,70002,3.045
10203,45.416382,-74.043586,70003,3.057
10203,45.416503,-74.043708,70004,3.074
10203,45.416809,-74.044060,70005,3.118
10203,45.416987,-74.044319,70006,3.146
10203,45.417068,-74.044458,70007,3.160
10203,45.417215,-74.044745,70008,3.188
10203,45.417271,-74.044870,70009,3.199
10203,45.417344,-74.045048,70010,3.216
10203,45.417398,-74.045196,70011,3.229
10203,45.417527,-74.045577,70012,3.262
10203,45.417554,-74.045693,70013,3.271
10203,45.417620,-74.046150,70014,3.308
10203,45.417645,-74.046459,70015,3.332
10203,45.417668,-74.046806,70016,3.360
10203,45.417657,-74.047099,70017,3.382
10203,45.417655,-74.047419,70018,3.408
10203,45.417615,-74.047761,70019,3.435
10203,45.417582,-74.047912,70020,3.447
10203,45.417559,-74.048051,70021,3.458
10203,45.417506,-74.048265,70022,3.476
10203,45.417485,-74.048353,70023,3.483
10203,45.417423,-74.048553,70024,3.500
10203,45.417188,-74.049085,70025,3.550
10203,45.416816,-74.049863,70026,3.623
10203,45.416800,-74.049909,70027,3.627
10203,45.416800,-74.049909,80001,3.627
10203,45.416776,-74.049975,80002,3.633
10203,45.416684,-74.050275,80003,3.659
10203,45.416620,-74.050552,80004,3.681
10203,45.416555,-74.050854,80005,3.706
10203,45.416518,-74.051107,80006,3.726
10203,45.416491,-74.051360,80007,3.746
10203,45.416475,-74.051538,80008,3.760
10203,45.416433,-74.051701,80009,3.774
10203,45.416347,-74.051848,80010,3.789
10203,45.416217,-74.051941,80011,3.805
10203,45.415988,-74.052039,80012,3.832
10203,45.415813,-74.052154,80013,3.853
10203,45.415664,-74.052296,80014,3.873
10203,45.415530,-74.052491,80015,3.894
10203,45.415259,-74.052995,80016,3.944
10203,45.414524,-74.054423,80017,4.083
10203,45.414524,-74.054423,90001,4.083
10203,45.414473,-74.054522,90002,4.092
10203,45.414707,-74.054769,90003,4.125
10203,45.414952,-74.054980,90004,4.156
10203,45.414978,-74.055007,90005,4.160
10203,45.415185,-74.055253,90006,4.190
10203,45.415419,-74.055488,90007,4.222
10203,45.415566,-74.055652,90008,4.243
10203,45.415612,-74.055696,90009,4.249
10203,45.415612,-74.055696,100001,4.249
10203,45.415697,-74.055777,100002,4.260
10203,45.415754,-74.055679,100003,4.270
10203,45.415829,-74.055621,100004,4.280
10203,45.416056,-74.055561,100005,4.305
10203,45.416200,-74.055559,100006,4.321
10203,45.416227,-74.055548,100007,4.324
10203,45.416351,-74.055621,100008,4.339
10203,45.416499,-74.055760,100009,4.359
10203,45.416576,-74.055855,100010,4.370
10203,45.416630,-74.055969,100011,4.381
10203,45.416630,-74.055969,110001,4.381
10203,45.416652,-74.056015,110002,4.386
10203,45.416668,-74.056054,110003,4.389
10203,45.416676,-74.056093,110004,4.392
10203,45.416714,-74.056505,110005,4.425
10203,45.416787,-74.056971,110006,4.462
10203,45.416795,-74.056997,110007,4.465
10203,45.416822,-74.057242,110008,4.484
10203,45.416865,-74.057552,110009,4.509
10203,45.416972,-74.058115,110010,4.554
10203,45.416972,-74.058115,120001,4.554
10203,45.416993,-74.058227,120002,4.563
10203,45.416828,-74.058304,120003,4.583
10203,45.416663,-74.058369,120004,4.602
10203,45.416555,-74.058386,120005,4.614
10203,45.416474,-74.058380,120006,4.623
10203,45.416385,-74.058348,120007,4.633
10203,45.416129,-74.058201,120008,4.664
10203,45.416067,-74.058170,120009,4.671
10203,45.415864,-74.058053,120010,4.695
10203,45.415698,-74.057938,120011,4.716
10203,45.415477,-74.057819,120012,4.742
10203,45.415343,-74.057771,120013,4.758
10203,45.415260,-74.057744,120014,4.767
10203,45.415260,-74.057744,130001,4.767
10203,45.415130,-74.057704,130002,4.782
10203,45.415083,-74.057982,130003,4.804
10203,45.415028,-74.058259,130004,4.827
10203,45.414997,-74.058372,130005,4.836
10203,45.414940,-74.058457,130006,4.846
10203,45.414910,-74.058531,130007,4.852
10203,45.414864,-74.058554,130008,4.858
10203,45.414810,-74.058562,130009,4.864
10203,45.414728,-74.058582,130010,4.873
10203,45.414612,-74.058560,130011,4.886
10203,45.414505,-74.058514,130012,4.898
10203,45.414462,-74.058503,130013,4.903
10203,45.414462,-74.058503,140001,4.903
10203,45.414363,-74.058478,140002,4.914
10203,45.414347,-74.058656,140003,4.928
10203,45.414311,-74.058896,140004,4.948
10203,45.414286,-74.059086,140005,4.963
10203,45.414271,-74.059238,140006,4.975
10203,45.414300,-74.059445,140007,4.991
10203,45.414362,-74.059705,140008,5.013
10203,45.414513,-74.060254,140009,5.059
10203,45.414586,-74.060451,140010,5.076
10203,45.414644,-74.060596,140011,5.089
10203,45.414694,-74.060702,140012,5.099
10203,45.414711,-74.060742,140013,5.103
10203,45.414727,-74.060793,140014,5.107
10203,45.414727,-74.060793,150001,5.107
10203,45.414727,-74.060794,150002,5.107
10203,45.414723,-74.060896,150003,5.115
10203,45.414701,-74.060997,150004,5.124
10203,45.414354,-74.061623,150005,5.186
10203,45.413886,-74.062557,150006,5.276
10203,45.413886,-74.062557,160001,5.276
10203,45.413848,-74.062634,160002,5.283
10203,45.413439,-74.063447,160003,5.361
10203,45.413981,-74.063994,160004,5.435
10203,45.413981,-74.063994,170001,5.435
10203,45.414056,-74.064069,170002,5.445
