route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
4,PI-H19-PI_GTFS-Semaine-01,3550344-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,26
4,PI-H19-PI_GTFS-Semaine-01,3550345-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,28
4,PI-H19-PI_GTFS-Semaine-01,3550346-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40059,30
4,PI-H19-PI_GTFS-Semaine-01,3550347-PI-H19-PI_GTFS-Semaine-01,Gare Vaudreuil - Secteur Floralies,0,40061,2
40,PI-H19-PI_GTFS-Semaine-01,3550348-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,101
40,PI-H19-PI_GTFS-Semaine-01,3550349-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,503
40,PI-H19-PI_GTFS-Semaine-01,3550350-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,105
40,PI-H19-PI_GTFS-Semaine-01,3550351-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,205
40,PI-H19-PI_GTFS-Semaine-01,3550352-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,305
40,PI-H19-PI_GTFS-Semaine-01,3550353-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,405
40,PI-H19-PI_GTFS-Semaine-01,3550354-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,505
40,PI-H19-PI_GTFS-Semaine-01,3550355-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,207
40,PI-H19-PI_GTFS-Semaine-01,3550356-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,407
40,PI-H19-PI_GTFS-Semaine-01,3550357-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,209
40,PI-H19-PI_GTFS-Semaine-01,3550358-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,409
40,PI-H19-PI_GTFS-Semaine-01,3550359-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,201
40,PI-H19-PI_GTFS-Semaine-01,3550360-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,211
40,PI-H19-PI_GTFS-Semaine-01,3550361-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,411
40,PI-H19-PI_GTFS-Semaine-01,3550362-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,213
40,PI-H19-PI_GTFS-Semaine-01,3550363-PI-H19-PI_GTFS-Semaine-01,Direction Côte-Vertu,0,400003,413
