stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_code,wheelchair_boarding
72072,5e avenue / Grand Boulevard,  45.395574, -73.957388,,72072,0
72073,5e avenue / Grand Boulevard,  45.395531, -73.957619,,72073,0
72074,rue Aurélien-Séguin / 8e avenue,  45.396078, -73.953158,,72074,0
72075,8e avenue / rue Aurélien-Séguin,  45.396175, -73.953292,,72075,0
72076,10e avenue / rue Aurélien-Séguin,  45.395373, -73.952102,,72076,0
72077,rue Aurélien-Séguin / 10e avenue,  45.395471, -73.952219,,72077,0
72078,boul. Perrot / 23e avenue,  45.393173, -73.948281,,72078,0
72079,boul. Perrot / 23e avenue,  45.393093, -73.948523,,72079,0
72080,27e avenue / boul. Perrot,  45.392458, -73.945099,,72080,0
72081,boul. Perrot / 27e avenue,  45.392603, -73.945007,,72081,0
72082,boul. Perrot / 27e avenue,  45.392558, -73.945234,,72082,0
72083,rue des Ruisseaux / 27e avenue,  45.391419, -73.945559,,72083,0
72084,27e avenue / rue des Ruisseaux,  45.391341, -73.945588,,72084,0
72085,rue des Ruisseaux / face au 145,  45.391343, -73.943341,,72085,0
72086,rue des Ruisseaux / face au 150,  45.391249, -73.943317,,72086,0
72087,place Datura / rue des Ruisseaux,  45.391206, -73.939995,,72087,0
72088,rue des Ruisseaux / place Datura,  45.391107, -73.940081,,72088,0
72089,place Datura / boul. Perrot,  45.392242, -73.939372,,72089,0
72090,boul. Perrot / place Datura,  45.392331, -73.939218,,72090,0
72091,boul. Perrot / place Datura,  45.392301, -73.939511,,72091,0
72092,boul. Perrot / 21e avenue,  45.393281, -73.950119,,72092,0
72093,boul. Perrot / 21e avenue,  45.393198, -73.950249,,72093,0
72094,boul. Don Quichotte / face à la Caisse Desjardins,  45.388323, -73.962643,,72094,0
72095,boul. Don-Quichotte / rue des Rosiers,  45.380524, -73.948004,,72095,0
72096,boul. Don-Quichotte / rue des Rosiers,  45.380640, -73.948559,,72096,0
72097,Grand Boulevard / rue René-Émard,  45.387357, -73.968868,,72097,0
72098,rue René-Émard / Grand Boulevard,  45.387342, -73.968593,,72098,0
72099,rue René-Émard / rue Lucien-Manning,  45.385806, -73.964492,,72099,0
