route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
20,SO-H19-SO_GTFS-Semaine-03,3539812-SO-H19-SO_GTFS-Semaine-03,Direction Est - rue Francois-Branchaud,0,200047,4
20,SO-H19-SO_GTFS-Semaine-03,3539813-SO-H19-SO_GTFS-Semaine-03,Direction Est - rue Francois-Branchaud,0,200047,6
20,SO-H19-SO_GTFS-Semaine-03,3539814-SO-H19-SO_GTFS-Semaine-03,Direction Est - rue Francois-Branchaud,0,200047,8
20,SO-H19-SO_GTFS-Semaine-03,3539815-SO-H19-SO_GTFS-Semaine-03,Direction Est - rue Francois-Branchaud,0,200047,10
20,SO-H19-SO_GTFS-Semaine-03,3539816-SO-H19-SO_GTFS-Semaine-03,Direction Est - rue Francois-Branchaud,0,200047,12
20,SO-H19-SO_GTFS-Semaine-03,3539817-SO-H19-SO_GTFS-Semaine-03,Direction Est - rue Francois-Branchaud,0,200047,14
20,SO-H19-SO_GTFS-Semaine-03,3539818-SO-H19-SO_GTFS-Semaine-03,Direction Est - rue Francois-Branchaud,0,200047,16
20,SO-H19-SO_GTFS-Semaine-03,3539819-SO-H19-SO_GTFS-Semaine-03,Direction Est - rue Francois-Branchaud,0,200047,18
20,SO-H19-SO_GTFS-Semaine-03,3539820-SO-H19-SO_GTFS-Semaine-03,Direction Ouest - boul. de Melocheville,1,200048,1
20,SO-H19-SO_GTFS-Semaine-03,3539821-SO-H19-SO_GTFS-Semaine-03,Direction Ouest - boul. de Melocheville,1,200048,3
20,SO-H19-SO_GTFS-Semaine-03,3539822-SO-H19-SO_GTFS-Semaine-03,Direction Ouest - boul. de Melocheville,1,200048,5
20,SO-H19-SO_GTFS-Semaine-03,3539823-SO-H19-SO_GTFS-Semaine-03,Direction Ouest - boul. de Melocheville,1,200048,7
20,SO-H19-SO_GTFS-Semaine-03,3539824-SO-H19-SO_GTFS-Semaine-03,Direction Ouest - boul. de Melocheville,1,200048,9
20,SO-H19-SO_GTFS-Semaine-03,3539825-SO-H19-SO_GTFS-Semaine-03,Direction Ouest - boul. de Melocheville,1,200048,11
20,SO-H19-SO_GTFS-Semaine-03,3539826-SO-H19-SO_GTFS-Semaine-03,Direction Ouest - boul. de Melocheville,1,200048,13
20,SO-H19-SO_GTFS-Semaine-03,3539827-SO-H19-SO_GTFS-Semaine-03,Direction Ouest - boul. de Melocheville,1,200048,15
20,SO-H19-SO_GTFS-Semaine-03,3539828-SO-H19-SO_GTFS-Semaine-03,Direction Ouest - boul. de Melocheville,1,200048,17
20,SO-H19-SO_GTFS-Semaine-03-0001100,3539829-SO-H19-SO_GTFS-Semaine-03-0001100,Direction Est - rue Francois-Branchaud,0,200047,22
20,SO-H19-SO_GTFS-Semaine-03-0001100,3539830-SO-H19-SO_GTFS-Semaine-03-0001100,Direction Est - rue Francois-Branchaud,0,200047,20
20,SO-H19-SO_GTFS-Semaine-03-0001100,3539831-SO-H19-SO_GTFS-Semaine-03-0001100,Direction Ouest - boul. de Melocheville,1,200048,21
20,SO-H19-SO_GTFS-Semaine-03-0001100,3539832-SO-H19-SO_GTFS-Semaine-03-0001100,Direction Ouest - boul. de Melocheville,1,200048,19
21,SO-H19-SO_GTFS-Semaine-03,3539833-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,210011,2
21,SO-H19-SO_GTFS-Semaine-03,3539834-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,210011,4
21,SO-H19-SO_GTFS-Semaine-03,3539835-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,210011,6
21,SO-H19-SO_GTFS-Semaine-03,3539836-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,210011,8
21,SO-H19-SO_GTFS-Semaine-03,3539837-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,210011,10
21,SO-H19-SO_GTFS-Semaine-03,3539838-SO-H19-SO_GTFS-Semaine-03,Direction Montréal,0,210011,12
